Title	Content
"heat transfer in turbulent shear flow ."	"heat transfer in turbulent shear flow .  the problems of heat transfer in turbulent shear flow along asmooth wall are discussed from the point of view of von karman'swell-known 1939 paper on the analogy between fluid friction andheat transfer .  methods for extending the analysis to higherprandtl numbers are suggested ."
"conduction of heat in composite slabs ."	"conduction of heat in composite slabs .a method of calculating the total quantity of heat that passes through a unit area from zero time to time t is developed . allowance is made for surface resistance by regarding each contact resistance as anadditional layer of the appropriate thermal resistance and zero heatcapacity"
"buckling stress of clamped rectangular plates in shear ."	"buckling stress of clamped rectangular plates in shear .  by consideration of antisymmetrical, as well as symmetrical,buckling configurations, the theoretical shear buckling stresses ofclamped rectangular flat plates are evaluated more correctly than inprevious work .  the results given, which represent the average of upperand lower-limit solutions obtained by the lagrangian multiplier method,are within percent of the true buckling stresses ."
"inviscid hypersonic airflows with coupled non-equilibriumprocesses ."	"inviscid hypersonic airflows with coupled non-equilibriumprocesses .  analyses have been made of the effects of coupled chemical rateprocesses in external inviscid hypersonic airflows at high enthalpylevels .  exact (numerical) solutions have been obtained by theinverse method for inviscid airflow over a near-spherical noseunder flight conditions where substantial nonequilibrium prevailsthrough the nose region .  typical conditions considered includenose radii of the order of 1 ft at an altitude of 250,000 ft andvelocities of 15,000 and 23,000 ft per sec .  the results illustrate the general importance of the couplingamong the reactions considered .  these includeddissociation-recombination, bimolecular-exchange, and ionization reactions .the exact solutions show the bimolecular, no exchange reactionsto be important in blunt-nose flow for the kinetics of no and n,as they are in the case of a plane shock wave .  an importantdifference between blunt-nose flow and plane shock flow,however, is the gasdynamic expansion in the curved shock layer of theformer .  this expansion reduces post-shock reaction rates .  as aconsequence, in the regime studied the oxygen and nitrogen-atomconcentrations tend to freeze in the nose region at levels belowthose for infinite-rate equilibrium .  the reduction below theequilibrium dissociation level can be large, particularly fornitrogen dissociation at higher velocities .  in the regime considered, the chemical kinetics are dominatedby two-body collision processes .  the inviscid nose flow,including coupled nonequilibrium phenomena, is thus amenable tobinary scaling for a given velocity .  the binary scaling isdemonstrated for a range of altitude and scale by correlation of theexact solutions for given velocity and a constant product ofambient density and nose radius .  this similitude, which canalso scale viscous nonequilibrium and radiation phenomena in theshock layer, provides a useful flexibility for hypersonic testingwhere it is applicable .  the afterbody inviscid-flow problem is briefly discussed in thelight of the results for the nose flow ."
"magnetohydrodynamics shocks ."	"magnetohydrodynamics shocks .  a mathematical treatment of the coupled motion ofhydrodynamic flow and electromagnetic fields isgiven .  two simplifying assumptions are introduced ..  first,the conductivity of the medium is infinite, andsecond, the motion is described by a plane shock wave .various orientations of the plane of the shock andthe magnetic field are discussed separately, and theextreme relativistic and unrelativistic behavior isexamined .  special consideration is given to the behaviorof weak shocks, that is, of sound waves .  it isinteresting to note that the waves degenerate into commonsound waves and into common electromagneticwaves in the extreme cases of very weak and very strongmagnetic fields ."
"magnetohydrodynamic shock waves ."	"magnetohydrodynamic shock waves .  an interpretation of the de hoffman-teller shock-waveequations for an infinitely conductingmedium is given analogous to the classical interpretation ofthe ordinary hydrodynamic shock-waveequations of rankine and hugoniot .  two cases of interestare considered as a consequence of this theory .it is shown that weak magnetic fields in interstellar cloudswill be amplified, and, if external mechanismsare available to reduce the compressional effects of shockwaves, the field will reach a value,where p is the pressure .  also, some aspects of the internalmotions of prominences are considered ,. it isshown that gauss will yield results in accord withthe observational material ."
"two dimensional transonic flow past airfoils ."	"two dimensional transonic flow past airfoils .  this report concerns the problem of constructing solutions fortransonic flows over symmetric airfoils .  the aspect of the problememphasized is, of necessity, not how to form a solution for compressibleflow but how to simplify the initial phase of the problem, namely, themapping of the incompressible flow .  in the case of the symmetricjoukowski airfoil without circulation, the mapping is relatively simple,but the coefficients in the power series are difficult to evaluate .  asa result, the problem requires simplification .  instead of the exactincompressible flow past the airfoil, an approximate flow is used, whichis derived from a combination of source and sink .  this flow differsonly slightly from the exact one when the thickness is small .  by thesame method, the flow with circulation is also considered .  after the incompressible-flow functions are approximated in thisfashion, the numerical calculation of the corresponding compressibleflow, by the hodograph theory, does not present anyessential difficulty ."
"tables of thermal properties of gases ."	"tables of thermal properties of gases .tables of thermodynamic and transport propertiesof air, argon, carbon dioxide, carbon monoxide, hydrogen,nitrogen, oxygen, and steam ."
"on the behaviour of boundary layers at supersonic speeds ."	"on the behaviour of boundary layers at supersonic speeds .this paper considers the implications of recent advances in knowledge of the behaviour of boundary layers in supersonic flow . only the simplest case is considered-dashthat of the two-dimensional boundary layer on aflat plate, with nominal zero longitudinal pressure and temperaturegradients .it is shown that the empirical/intermediate enthalpy/used with successin approximations for skin friction, etc., of laminar boundary layers isclosely the same as the mean enthalpy with respect to velocity .furthermore, the mean enthalpics of laminar and turbulent boundarylayers may be the same . a nonrigorous approach is made to the problemsof self-induced pressure gradients, and the indications are that theireffects on laminar skin friction, etc., may become noticeable at machnumbers greater than 5 and they increase as the surface temperaturebuilds up towards zero heat-transfer conditions . the effects withturbulent boundary layers may not be so severe .finally, the results are applied to give an idea of the magnitude of thedrag and aerodynamic heating problems up to m 10, and one result isthat, if there is any conflict at the higher mach numbers betweensurface conditions required for high radiative emissivity and thosewhich may be thought necessary for preserving a laminar boundary layer,then it may be better to choose the former ."
"stationary convection flow of an electrically conductingliquid between parallel plates in a magnetic field ."	"stationary convection flow of an electrically conductingliquid between parallel plates in a magnetic field .  a study is made of the stationary convectionof an electrically conducting liquid in the spacebetween two parallel plates, heated to differenttemperatures, in the presence of a magneticfield .  the distribution of velocity, temperature,and induced fields are found, and the convectiveheat flow is calculated ."
"on convective motion of a conducting fluid betweenparallel vertical plates in a magnetic field ."	"on convective motion of a conducting fluid betweenparallel vertical plates in a magnetic field .  stationary convective motion of a conducting fluidbetween vertical parallel plates in amagnetic field is considered .  an exact solution of themagnetohydrodynamic equations isobtained for the case of a constant vertical temperaturegradient .  the critical value ofgrasshof's number is determined for the case when thetemperature of both plates is the same ."
"on the base pressure resulting from the interaction of a supersonicexternal stream with a sonic or subsonic jet ."	"on the base pressure resulting from the interaction of a supersonicexternal stream with a sonic or subsonic jet .it is shown that the two-dimensional base pressure problems relating tobase bleed into the wake of blunt-trailing-edge airfoils, or theinteraction between an external supersonic or sonic slipstream with asonic or subsonic jet stream of a jet engine, can be calculated bytheoretical considerations . constant-pressure, isoenergetic, turbulentmixing between the streams and the stagnant fluid in the wake isassumed . the theoretical calculations are in good agreement with theexperimental results ."
"the supersonic flow about a blunt body of revolutionfor gases at chemical equilibrium ."	"the supersonic flow about a blunt body of revolutionfor gases at chemical equilibrium .  the supersonic flow about a blunt body ofrevolution for gases at chemicalequilibrium .  a method to determine the shockwave, and its location, about a bodyof revolution moving at supersonic speeds is given .the method provides also the meansto compute the flow characteristics in the shock layer .the fluid in which the motiontakes place is assumed to be in chemical equilibriumwithin the shock layer ,. itsthermochemical properties must be known .  the essentialnew features of the method are ..a) it solves the direct problem, i. e., the initial dataare the conditions upstream andthe body shape ,. b) the integration of the fundamentalequations is done in the physicalplane and the difficulties inherent to other, less direct,mathematical formulationsof the problem are avoided .  a physical interpretation ofthe method is made whichis in accord with the analytical definition of the problem ."
"data on shape and location of detached shock wavesin cones and sphere ."	"data on shape and location of detached shock wavesin cones and sphere .  accurate experimental data are given on the shape and the locationof detached shock waves on cones and spheres at mach numbers from 1.17to 1.81 .  the data are correlated to obtain equations that describe theshock waves .  this knowledge of the shock waves should be useful incalculations of the pressure distribution and the pressure drag of thefore part of cones and spheres .  the experimental data on shock wavesare compared with theory ."
"critical combinations of shear and transverse directstress for an infinitely long flat plate withedges elastically restrained against rotation ."	"critical combinations of shear and transverse directstress for an infinitely long flat plate withedges elastically restrained against rotation .  an exact solution and a closely concurring approximateenergy solution are given for the buckling of an infinitely longflat plate under combined shear and transverse direct stresswith edges elastically restrained against rotation .  it was foundthat an appreciable fraction of the critical stress in pure shearmay be applied to the plate without any reduction in thetransverse compressive stress necessary to produce buckling .  aninteraction formula in general use was shown to be decidedlyconservative for the range in which it is supposed to apply ."
"turbulent skin friction at high mach numbers and reynoldsnumbers in air and helium . nasa r82, 1960 ."	"turbulent skin friction at high mach numbers and reynoldsnumbers in air and helium . nasa r82, 1960 .  results are given of local skin-friction measurements in turbulentboundary layers over an equivalent air mach number range from 0.2 to 9.9and an over-all reynolds number variation of 2x10 to 100x10 .  directforce measurements were made by means of a floating element .  flowswere two-dimensional over a smooth flat surface with essentially zeropressure gradient and with adiabatic conditions at the wall .  air andhelium were used as working fluids .  an equivalence parameter forcomparing boundary layers in different working fluids is derived andthe experimental verification of the parameter is demonstrated .experimental results are compared with the results obtained by severalmethods of calculating skin friction in the turbulent boundary layer ."
"the problem of resistance in compressible fluids ."	"the problem of resistance in compressible fluids .  this report is restricted to theresistance of bodies of revolution andof cylindrical bodies of infinite lengthmoving with uniform velocity ina compressible fluid .  in the case of bodiesof revolution it will be assumedthat the direction of the movement isparallel to the axis of symmetry .it will be assumed that the fluid satisfiesthe equation of state of perfectgases, i. e. const., where p denotesthe pressure, the density andt the absolute temperature .  in additionto obeying this equation thefluid is characterized by the statementthat the intrinsic energy of theunit mass amounts to where forsimplicity's sake the specific heatwill be expressed in work ratherthan heat units .  the ratio betweenthe specific heat at constant pressureand the specific heat at constantvolume will be denoted by .  it isknown that the value of x dependsupon the number of degrees of freedomof the molecules,. if this numberis denoted by n .  for airthe value x = 1.4 will be used .the limiting case x = 1 willbe referred to as that of aassumed that in the rangeconsidered and are independent ofthe temperature ."
"the aerodynamic design of section shapes for swept wings ."	"the aerodynamic design of section shapes for swept wings .an extension of work of lock and rogers and the result of cooperation byn.p.l., r.a.e. and members of the british aircraft industry to achieve a satisfactory design for an aircraft cruising at low supersonic speeds . knowledge of shock-wave prediction, onset of wave drag andshock-induced separation allows the basic design to be generalized for a widerange of parameters . unpublished work by bagley on the relation ofaerodynamic coefficients and geometry is used . the role of uppersurface velocity distribution is noted and methods for predicting pressuredistributions with shock waves are reviewed for both subsonic andtransonic flows ."
"methods of boundary-layer control for postponing and alleviatingbuffeting and other effects of shock-induced separation ."	"methods of boundary-layer control for postponing and alleviatingbuffeting and other effects of shock-induced separation .the use of boundary-layer control to increase the separation-freemargins of mach number and lift coefficient beyond the cruise point ofhigh-speed aircraft may often be preferred to design changes that impair the cruising performance or the landing and take-off characteristics .the factors that influence the choice of method and details of itsapplication are discussed, emphasising particularly the need to maintaineffectiveness over most of the chord to cover the wide range ofseparation positions encountered as the shock moves over the wing withchanging flight conditions .research at the national physical laboratory that has embracedhigh-velocity blowing, vane and air-jet vortex generators, and, in apreliminary way, distributed suction, is briefly described . therelative merits of the various methods are discussed, and some resultsachieved in their application are given .for vortex generators, the importance is stressed of the vortex pathsdetermined by the interactions of neighbouring vortices and theirimages . thus, systems of counter-rotating vortices always leave thesurface in pairs and lose their effectiveness . co-rotating systems aretherefore preferred for many applications . blowing, which inwind-tunnel tests gives results as good as or better than vortex generatorsand does not have the disadvantage of a drag penalty at cruise, has notyet been assessed in flight . air-jet vortex generators, which wouldalso avoid the drag penalty, show promise of producing significanteffects with relatively small blowing pressures and quantities ."
"on the stability of two dimensional parallel flows ."	"on the stability of two dimensional parallel flows .  this is the last part of the author's theory of the stabilityof plane laminar motion .  (for parts 1 and 2, cf. the samequart. 3, 117-142, 218-234 (1945),. these rev. 7,225,226 .)the stability character of a viscous fluid is considered indetail .  the author proceeds first to give a proof of a criterionof stability due to heisenberg ..  if a velocity profile has annumber and phase velocity, the disturbance with the samewave number is unstable in the real fluid when the reynoldsnumber is sufficiently large .  this destabilizing effect ofviscosity is one of the most interesting phenomena in thegeneral stability theory,. its physical and mathematicalsignificance is carefully discussed .  the author then discusses the behavior of the so-calledneutral curve for the two characteristic types ofvelocity distribution, the boundary layer type profile andthe symmetrical profile .  the asymptotic behavior of theneutral curve is discussed first .  the main difference betweenprofiles with and without a point of inflection is that the twobranches of the neutral curve approach and forprofiles with a flex, but both converge to for the profilewithout a flex .  the most important results are as follows .for sufficiently large reynolds number r .  (2) there alwaysexists a minimum r below which the motion is stable .  asimilar result was obtained by synge from energyconsiderations .  synge found a limiting curve below which themotion is necessarily stable .  the author's discussion of theasymptotic behavior of the curves shows furtherthat there always exists a maximum value of a beyondwhich the motion is stable for all reynolds numbers .  hencethe qualitative shape of the curve is determined .  the author proceeds to show that simple approximateexpressions for the stability limit can be obtained from hisgeneral analysis for a given velocity profile .  theseapproximate stability limits for plane poiseuille flow and blasiusflow are found to be r=5906 and r=502 .  the reynoldsnumbers are based on the width of the channel and thedisplacement thickness, respectively .  finally, the methodfor computing the complete instability curve is presentedand the plane poiseuille case and the blasius problem workedout in detail .  the stability limit for blasius flow had beengiven before by tollmien and schlichting .  the present moreexact computations agree well with tollmien's result as faras the minimum critical reynolds number is concerned .the value found here is r=420 .  the neutral curve forpoiseuille motion had not been obtained before .  theminimum critical number here is found to be r=5314 .  theagreement with the estimate from the simple criterionmentioned above is thus very good .  a discussion of the physical significance of the viscouseffects and of future developments concludes the paper ."
"transition form laminar to turbulent shear flow ."	"transition form laminar to turbulent shear flow .  recent experimental studies of transition from laminar toturbulent shear flows are reviewed .  certain common featuresare emphasized and related to the stability theories of viscousshear layers .  the three-dimensional character, theunsteadiness, and the nonlinear and random behavior of the latter stagesof the transition process are also examined ."
"the design of intermediate vertical stiffeners on webplates subjected to shear ."	"the design of intermediate vertical stiffeners on webplates subjected to shear .  the correct design of intermediate vertical stiffeners on web platessubjected to shear becomes very important whenthe web plates are designedto operate at loads close to their buckling loads .this paper presents detailsof an extensive series of tests conducted onstiffened web plates subjected toshear .  from the analysis of the results obtainedfrom these tests, new empiricalrelationships between the flexural rigidity andspacing of the intermediatestiffeners and the buckling stress of the stiffenedweb plate have been obtained .  one interesting and important feature ofthese new relationships is thatthey define more clearly than hitherto the differencein the behaviour ofsingle-and double-sided stiffeners ."
"an experimental study of the flow field about swept and delta wingswith sharp leading edges ."	"an experimental study of the flow field about swept and delta wingswith sharp leading edges .a series of experiments was performed to define the flow field on theupper surface of high aspect ratio swept wings and narrow delta wings at high angles of attack .it was found that near the root section of either type of wing the flowis conical . the edge of the vortex sheet which originates at theleading edge is a straight line whose position relative to the leading edgedepends only on incidence . on swept wings, the vortex edge turnsdown-stream as soon as the vortex sheet covers the front half of the wingchord, and the flow under the vortex sheet outboard of that turningpoint is uniform and parallel to the leading edge of the wing . onnarrow delta wings, the conical symmetry persists almost to the trailingedge ."
"analytic study of induced pressure on long bodies ofrevolution with varying nose bluntness at hypersonicspeeds ."	"analytic study of induced pressure on long bodies ofrevolution with varying nose bluntness at hypersonicspeeds .  a systematic study of induced pressures on a seriesof bodies of revolution with varying nose bluntnesshas been made by using the method of characteristicsfor a perfect gas .  the fluid mediums investigatedwere air and helium and the mach number rangewas from 5 to 40 .  a study of representative shockshapes was also made .  flow parameters obtainedfrom the blast-wave analogy gave good correlations ofinduced pressures and shock shapes .  theinduced-pressure correlations yielded empirical equations forair and helium which cover the complete range ofnose bluntness considered .  (nose fineness ratiosvaried from 0.4 to 4.)  available experimentalresults were in good agreement with the characteristicssolutions .  properties connected with the concept ofhypersonic similitude enabled correlations of thecalculations to be made with respect to nose shape,mach number, and ratio of specific heats ."
"bending of a square plate with two adjacent edges freeand the others clamped or simply supported ."	"bending of a square plate with two adjacent edges freeand the others clamped or simply supported .  the title problems were solved for the two cases ..  (1) uniformtransverse loading, (2) a concentrated force at the free corner .  afunction is chosen to exactly satisfy the biharmonic equationwhile the boundary conditions are enforced at a number of pointsplied at discrete points around the boundary for each of the fourproblems and the resulting 35 simultaneous equations were solvedon an ibm 704 .  tables listing the values of deflection andbending moments are presented .  this paper provides useful informationon the solution of these problems which are intractable byanalytical methods ."
"an experimental investigation of the flow over blunt-nosedcones at a mach number of 5. 8."	"an experimental investigation of the flow over blunt-nosedcones at a mach number of 5. 8.  shock shapes were observed and static pressures were measuredon spherically-blunted cones at a nominal mach number of 5.8 over arange of reynolds numbers per inch from 97,000 to 238,000, for anglesof yaw from 0 to 8 .  six combinations of the bluntness ratios 0.4, 0.8,and 1.064 with the cone half angles 10, 20, and 40 were used indetermining the significant parameters governing pressure distribution .  the pressure distribution on the spherical nose for both yawedand unyawed bodies is predicted quite accurately by the modifiednewtonian theory given by, where is the angle between thenormal to a surface element and the flow direction ahead of the bowshock .  cone half angle was found to be the significant parameter indetermining the pressure distribution near the nose-cone junction andover the conical afterbody .  on the 40 spherical nosed cone modelsthe flow overexpanded with respect to the taylor-maccoll pressure inthe region of the spherical-conical juncture, after which the pressurereturned rapidly to the taylor-maccoll value .  for models with smallercone angles the region of minimum pressure occurred farther back onthe conical portion of the model, and the taylor-maccoll pressure wasapproached more gradually .  the shape of the pressure distributionsas described in nondimensional coordinates was independent of theradius of the spherical nose and of the reynolds number over the rangeof reynolds number per inch between .97 x 10 and 2.38 x 10 .  integrated results for the pressure foredrag of the models at zeroyaw compared very closely with the predictions of the modified newtonianapproximation, except for models with large cone angles and small noseradii, where the drag approaches the value given by the taylor-maccolltheory for sharp cones ."
"cantilever plate with concentrated edge load ."	"cantilever plate with concentrated edge load .  the author gives, by the method of finite differences, anapproximate solution of the problem of a finite lengthof a cantilever plate which bears a concentrated load atthe longitudinal free edge .  all the boundary conditionsare taken into account, and the plate action isdetermined approximately at all points of the plate .  theauthor points out that a secondary maximum transversestress occurs at the clamped edge nearest the loadingpoint, and that the longitudinal stress is greatest directlyunder the loading point ."
"the solution of elastic plate problems by electrical analogies ."	"the solution of elastic plate problems by electrical analogies .a dynamic-analogy method for the solution of elastic plate problems isdescribed in this paper .  the electrical circuits developed here can beset-up and studied on an electric-analog computer .  problems involvingdeflections under constant load, transient vibrations, or normalmodes can be solved in this way .  the method of applying boundaryconditions to plates with irregular edges is given, together witha detailed description of the representation of the boundary conditionsfor a rectangular variable-thickness plate .  solutions that have beenobtained on the cal tech electric-analog computer are presented forthe static deflections and normal modes of a rectangular cantileverplate ."
"preliminary analysis of axial flow compressors havingsupersonic velocity at the entrance of the stator ."	"preliminary analysis of axial flow compressors havingsupersonic velocity at the entrance of the stator .  a supersonic compressor design having supersonic velocity at theentrance of the stator is analyzed on the assumption of two-dimensionalflow .  the rotor and stator losses assumed in the analysis are based onthe results of preliminary supersonic cascade tests .  the results ofthe analysis show that compression ratios per stage of 6 to 10 can beobtained with adiabatic efficiency between 70 and 80 percent .  consideration is also given in the analysis to the starting,stability, and range of efficient performance of this type ofcompressor .  the desirability of employing variable-geometry statorsand adjustable inlet guide vanes is indicated .  although eithersupersonic or subsonic axial component of velocity at the statorentrance can be used, the cascade test results suggest that higherpressure recovery can be obtained if the axial component is supersonic ."
"flow of gas through turbine lattices ."	"flow of gas through turbine lattices .  paper is a translation of chap. 7 of the book /technicalgas-dynamics/ (see amr 9, rev 1869) .  the topics treated are bestshown by the list of paragraph headings .  they are ..  7-1 .geometrical and gasdynamical parameters of the lattices,.fundamentals of flow through lattices,. 7-2 .  theoretical methods ofinvestigation or plane potential flow of incompressible fluid through alattice,. 7-3 .  electro-hydrodynamic analogy,. 7-4 .  forces actingon an airfoil in a lattice,. theorem of joukowsky for lattices,. 7-5 .fundamental characteristics of lattices,. 7-6 .  friction losses inplane lattice at subsonic velocities,. 7-7 .  edge losses in planelattice at subsonic velocities,. 7-8 .  several results ofexperimental investigations of plane lattices at small subsonicvelocities,. 7-9 .  flow of gas through lattice at large subsonicvelocities,. critical mach number for lattice,. 7-10 .  profile losses inlattices at large subsonic velocities,. 7-11 .  flow of a gas throughreaction lattices at supersonic pressure drops,. 7-12 .  impulselattices in supersonic flow,. 7-13 .  losses in lattices at near sonicand supersonic velocities,. 7-14 .  computation of angle ofdeflection of flow in overhang section of a reaction lattice at supersonicpressure drops,. 7-15 .  characteristic features of three-dimensionalflow in lattices ."
"the quasi-cylinder of specified thickness and shellloading in supersonic flow ."	"the quasi-cylinder of specified thickness and shellloading in supersonic flow .  the methods of the operationalcalculus are used to obtain a linearapproximation to the shape of the mean cambersurface of a quasi-cylinder in asupersonic flow in terms of its shell thicknessand loading distributions .  theanalysis deals with a generalised quasi-cylinder ,.that is one which, although lyingclose to a mean cylinder, need not possessaxial symmetry .  the quasi-cylinderis also permitted to be within the smalldisturbance field of other separatecomponents, e.g. a centre-body .  becausethe linearised theory is inadmissablefor internal duct flows close to and beyondthe first reflected characteristic cone,the present solution is likewise invalid closeto and beyond the position wherethis characteristic meets the mean cylinder .the work given here enables thecamber shapes of /ring-wings/, which havebeen used theoretically to reduce oreven nullify the wave-drag of a central slender-body,to be found .  an exampleillustrates the general method ."
"a description of the r. a. e.  high speed supersonictunnel ."	"a description of the r. a. e.  high speed supersonictunnel .  an account is given of the high supersonic speed tunnel now nearingcompletion .  the design philosophy is reviewed, the principal featuresare described and some of the more interesting development problemsare noted ."
"calibration of the flow in the mach 4 working sectionof the 4ft . x 3ft . high supersonic speed wind tunnelat rae bedford ."	"calibration of the flow in the mach 4 working sectionof the 4ft . x 3ft . high supersonic speed wind tunnelat rae bedford .  mach number and flow angle distributions in the working section ofthe mach 4 nozzle of the 4 ft x 3 ft high-supersonic-speed wind tunnelare presented for a range of total pressure and humidity ."
"free-flight measurements of the zero-lift drag andbase pressure on a wind tunnel interference model (m=0 .8 - 1. 5) ."	"free-flight measurements of the zero-lift drag andbase pressure on a wind tunnel interference model (m=0 .8 - 1. 5) .  five free-flight models were flown to measure the zero-lift drag andbody base pressure on a standard wind tunnel interference model over amach number range of 0.84 to 1.48 .  roughness bands on the wings and body of the model are shown toproduce a small but definite increase in the zero-lift drag at all machnumbers .  the measured drag is in fair agreement with corresponding measurementsmade in various transonic tunnels with differences that could plausiblybe explained as the effects of tunnel interference .  the effect of a simulated wind tunnel support sting is shown toincrease the base pressure .  the discrepancy between models with andwithout a sting is greatest at subsonic speeds and progressivelydecreases with increasing mach number until at m = 1.4 the sting has noeffect on base pressure ."
"theoretical damping in roll and rolling moment dueto differential wing incidence for slender cruciformwings and wing-body combinations ."	"theoretical damping in roll and rolling moment dueto differential wing incidence for slender cruciformwings and wing-body combinations .  a method of analysis based on slender-wing theory is developedto investigate the characteristics in roll of slender cruciform wingsand wing-body combinations .  the method makes use of theconformal mapping processes of classical hydrodynamics whichtransform the region outside a circle and the region outsidean arbitrary arrangement of line segments intersecting at theorigin .  the method of analysis may be utilized to solve otherslender cruciform wing-body problems involving arbitrarilyassigned boundary conditions .  in the present report, the application of the method hasshown ..differential incidence of both pairs of opposite surfaces of thecruciform wing-body combinations are practically independentof the body-diameter-maximum-span ratio up to a value of thisratio of 0.3 .arrangement is only 62 percent greater than that for acorresponding planar wing-body combination .dence of both pairs of the opposing surfaces of the cruciformwing-body arrangement, is only 52 percent greater than thatfor a corresponding planar wing-body combination .unit surface deflection) of the cruciform wing-body arrangementhaving four equally deflected panels is therefore 94 percent ofthe corresponding planar wing-body combination ."
"application of two dimensional vortex theory to theprediction of flow fields behind wings of wing-bodycombinations at subsonic and supersonic speeds ."	"application of two dimensional vortex theory to theprediction of flow fields behind wings of wing-bodycombinations at subsonic and supersonic speeds .  a theoretical investigation has been made of a general method forpredicting the flow field behind the wings of plane and cruciform wingand body combinations at transonic or supersonic speeds and slenderconfigurations at subsonic speeds .  the wing trailing-vortex wake isrepresented initially by line vortices distributed to approximate thespanwise distribution of circulation along the trailing edge of theexposed wing panels .  the afterbody is represented by correspondingimage vortices within the body .  two-dimensional line-vortex theory isthen used to compute the induced velocities at each vortex and theresulting displacement of each vortex is determined by means of anumerical stepwise integration procedure .  the method was applied to thecalculation of the position of the vortex wake and the estimation ofdownwash at chosen tail locations behind triangular-wing andcylindrical-body combinations at supersonic speeds .  the effects ofsuch geometric parameters as aspect ratio, angle of attack andincidence, ratio of body radius to wing semi-span, and angle of bank onthe vortex wake behind wings of wing-body combinations were studied .the relative importance of wing vortices, the corresponding imagevortices within the body, and body crossflow indetermining the the totaldownwash was assessed at a possible tail location .  it was found that the line-vortex method of this report permittedthe calculation of vortex paths behind wings of wing-body combinationswith reasonable facility and accuracy .  a calculated sample wake shapeagreed qualitatively with one observed experimentally, and sampleresults of the line-vortex method compared well with an available exactcrossflow-plane solution .  an empirical formula was derived to estimatethe number  of vortices required per wing panel for a satisfactorycomputation of downwash at tail locations .  it was found that the shapeof the vortex wake and the ultimate number of rolled-up vortices behinda wing depend on the circulation distribution along the wing trailingedge .  for the low-aspect-ratio plane wing and body combinationsconsidered, it appeared that downwash at horizontal tail locations islargely determined except near the tail-body juncture by the wingvortices alone for small ratios of body radius to wing semispan, and bythe body upwash alone for large values of that ratio ."
"contributions of the wing panels to the forces andmoments of supersonic wing-body combinations at combinedangles ."	"contributions of the wing panels to the forces andmoments of supersonic wing-body combinations at combinedangles .  a wind-tunnel investigation wasconducted at a mach number of 1.96and at reynolds numbers (based on themean aerodynamic chord of theexposed wing) of 0.36 and 1.03 millionto determine the normal forces,pitching moments, and rolling momentscontributed by each wing panel ofa cruciform-wing and body combinationover a wide range of combinedangles of pitch and roll .  the wingswere triangular of aspect ratio 2,and the body was an ogive-cylindercombination .  the effects of forebodylength and roughness and of thepresence of the adjacent panels on thesepanel contributions were determined .  the results of the investigationshow that large changes in the panelforces and moments can occur as theresult of combined angles .  a generaltheoretical method based on slender-bodyand strip theories was found toyield results in good agreement with thewind-tunnel measurements .  thesecomparisons indicate that the changes inthe panel characteristics due tocombined angles are caused primarily bya cross coupling between theside-wash velocities due to angle of attackand sideslip and by the presenceof forebody vortices due to crossflowseparation .  it was found that anincrease in forebody length increasesthe effect of the forebody vorticesbecause of the dependence of the strengthof these vortices on the forebodylength ."
"application of similar solutions to calculations oflaminar heat transfer on bodies with yaw and largepressure gradients in high speed flow ."	"application of similar solutions to calculations oflaminar heat transfer on bodies with yaw and largepressure gradients in high speed flow .  an integral method for the rapid calculation of heat-transferdistributions on yawed cylinders of arbitrary cross-sectional shapeand on bodies of revolution in high-speed flows is developed forlaminar boundary layers .  the method involves the quadrature of afunction of the pressure distribution (assumed given) and satisfiesthe integral energy equation with the assumption of local similarity,wherein the actual boundary-layer profiles at every station arereplaced by corresponding profiles from a family of similar solutions .  the method is compared with other local similarity methods andwith experimental heat-transfer data on a circular cylinder and on abody of revolution designed for large axial pressure gradients .  goodagreement between theory and data is obtained and it is shown that thepresent integral method, in both its complete and simplified form, givesgenerally better agreement with the data than certain other localsimilarity methods .  numerical examples are presented showing that the effect of sweepand gas properties on heat-transfer distribution is small ."
"heat transfer in planetary atmospheres at super-satellite speeds ."	"heat transfer in planetary atmospheres at super-satellite speeds .the main purpose of this investigation is to examine the dependence ofheat transfer in planetary atmospheres on the total enthalpy up toflight velocities of 50,000 ft/sec where a large proportion of the atoms are ionized . the /total thermodynamic and transport property/ conceptdiscussed by hirshfelder /j.chem.phys.,26/2/,feb.,1957/ is used ."
"hypervelocity stagnation point heat transfer ."	"hypervelocity stagnation point heat transfer .this analysis includes the specific contributions of atoms, molecules,tions are .. /i/ partially ionized air can be approximated as afour-component gas including n2, n, n and e,. /ii/ the gas is in localthermochemical equilibrium,. /iii/ there is no charge separation,. /iv/thermal diffusion is neglected,. /v/ no electrical or magnetic fields,. low re effects are neglected ."
"stagnation point heat transfer measurements at supersatellite speeds ."	"stagnation point heat transfer measurements at supersatellite speeds .  brief description of experiments performed by using shock tubetechniques for measurement of the stagnation point heating of a bluntbody over a stagnation enthalpy range of 650 to 900,corresponding to velocities between 32,000 ft. per sec. and 39,000ft per sec., respectively .  data thus provided are used forcomparison with theory ."
